TeamA,TeamB,G01,G23,G4,Year,Round,GoalsA,GoalsB
MacHa,BeiYe,3.2,1.8,2.65,2014,28,NA,NA
MacPT,HapKS,2.65,1.8,3.2,2014,28,NA,NA
MacTA,HapBS,3.1,1.8,2.7,2014,28,NA,NA
HapHa,HapTA,2.6,1.8,3.25,2014,28,NA,NA
HapRa,MacNa,3.1,1.8,2.7,2014,28,NA,NA
MemAs,HapAc,2.6,1.8,3.25,2014,28,NA,NA
HapPT,BneSa,2.7,1.8,3.1,2014,28,NA,NA
HapBS,MacHa,3,1.8,2.8,2014,29,NA,NA
HapKS,MacTA,2.9,1.8,2.9,2014,29,NA,NA
HapTA,HapPT,2.8,1.8,3,2014,29,NA,NA
HapAc,HapHa,2.45,1.8,3.5,2014,29,NA,NA
BneSa,HapRa,3,1.8,2.8,2014,29,NA,NA
MacNa,MemAs,3,1.8,2.8,2014,29,NA,NA
HapKS,MacPT,2.7,1.8,3.1,2014,33,NA,NA
BeiYe,MacHa,2.45,2.7,2.55,2014,33,NA,NA
HapBS,MacTA,3,2.85,2.05,2014,33,NA,NA
BneSa,HapTA,2.95,1.8,2.85,2014,32,NA,NA
MemAs,HapPT,2.65,1.8,3.2,2014,32,NA,NA
HapRa,HapHa,2.5,1.8,3.4,2014,32,NA,NA
MacHa,HapBS,2.8,1.8,3,2014,34,NA,NA
MacTA,HapKS,2.95,1.8,2.85,2014,34,NA,NA
MacPT,BeiYe,2.65,1.8,3.2,2014,34,NA,NA
HapPT,HapBS,2.9,1.8,2.9,2014,33,NA,NA
HapAc,BneSa,2.8,1.8,3,2014,33,NA,NA
HapHa,MacNa,2.7,1.8,3.1,2014,33,NA,NA
HapTA,MemAs,2.9,1.8,2.9,2014,33,NA,NA
HapKS,HapBS,3,1.8,2.8,2014,35,NA,NA
MacPT,MacHa,2.9,1.8,2.9,2014,35,NA,NA
BeiYe,MacTA,3.1,1.8,2.7,2014,35,NA,NA
