TeamA,TeamB,WinAFac,TieFac,WinBFac,Year,Round,GoalsA,GoalsB
MacHa,BeiYe,1.8,3,3.5,2014,28,1,0
MacPT,HapKS,2.75,2.8,2.2,2014,28,0,1
MacTA,HapBS,1.7,3.1,3.75,2014,28,3,1
HapHa,HapTA,2.8,2.85,2.15,2014,28,0,1
HapRa,MacNa,1.95,3,3.05,2014,28,1,2
MemAs,HapAc,1.95,2.85,3.2,2014,28,0,0
HapPT,BneSa,2.05,2.85,3,2014,28,2,3
BeiYe,MacPT,1.6,3.2,4.2,2014,29,0,0
HapBS,MacHa,2.15,2.85,2.8,2014,29,1,1
HapTA,HapPT,1.8,3,3.5,2014,29,0,0
HapAc,HapHa,2.35,2.6,2.75,2014,29,1,0
BneSa,HapRa,1.8,3.15,3.3,2014,29,1,1
MacNa,MemAs,1.95,2.9,3.15,2014,29,0,0
HapKS,MacPT,2.7,1.8,3.1,2014,33,2,0
BeiYe,MacHa,2.7,1.8,3.1,2014,33,1,1
HapBS,MacTA,3,1.8,2.8,2014,33,1,1
BneSa,HapTA,2.1,2.85,2.9,2014,32,2,0
MemAs,HapPT,1.55,3.3,4.4,2014,32,2,4
HapRa,HapHa,3.6,3.05,1.75,2014,32,1,2
MacHa,HapBS,1.9,2.95,3.25,2014,34,4,0
MacTA,HapKS,1.75,2.95,3.75,2014,34,2,1
MacPT,BeiYe,2.75,2.75,2.25,2014,34,NA,NA
HapPT,HapRa,2.35,2.8,3.25,2014,33,4,2
HapAc,BneSa,2.65,2.9,2.2,2014,33,1,0
HapHa,MacNa,1.4,3.7,5.25,2014,33,0,0
HapTA,MemAs,3.3,3.15,1.8,2014,33,1,0
HapKS,HapBS,1.65,3.2,3.85,2014,35,NA,NA
MacPT,MacHa,3.95,3.15,1.65,2014,35,NA,NA
BeiYe,MacTA,2.4,2.9,2.4,2014,35,NA,NA
